vehicle_reg,vehicle_group,current_storage_location,availability_date,notes
WU24DLO,V75BT,S003,2025-12-08,Clean and ready
ML23LGW,V5,S002,2025-12-08,Clean and ready
CA24AWJ,V3,S002,2025-12-08,Clean and ready - at Putney
YP71VGZ,C.F4,S001,2025-12-08,MOT due
MK22EEA,V3,S001,2025-12-08,Clean and ready - at Feltham
BJ23XKS,D.B9,S001,2025-12-08,Clean and ready - at Feltham
CK21YPD,V3,S001,2025-12-08,Clean and ready - at Feltham
YP21XGZ,C.F4,S003,2025-12-08,Clean and ready
WN21UHB,V5TDC,S002,2025-12-08,Clean and ready - at Putney
PO69XHZ,VH44T,S003,2025-12-08,SORN Nottingham
HK23DWU,V2,S003,2025-12-08,Available
MK72FWE,V3,S002,2025-12-08,Available - at Putney
HG21EZB,E.A17,S001,2025-12-08,Available - at Feltham
YS23PUF,V5D,S003,2025-12-09,Needs cleaning
YS23PLJ,V5D,S002,2025-12-08,Available - at Putney
MJ24NYM,V5D,S003,2025-12-08,Available
MW73GVO,V4,S003,2025-12-08,Available
BC23OFJ,V3,S003,2025-12-08,FIND A VAN!! - Available
RK21YVH,V2A,S003,2025-12-08,Available
CK23UXO,V2,S003,2025-12-08,Available
WR22XKV,D.B9A,S003,2025-12-08,Available
BK71HRZ,V2,S003,2025-12-08,Available
OU72VPT,V5,S003,2025-12-08,Available
BJ73DGF,V3,S003,2025-12-08,Available
MD72DZA,V5,S003,2025-12-08,Available
BX25SKJ,E.A17,S003,2025-12-08,Available
CK71MYN,V2,S003,2025-12-08,Available
KU18EEA,VH18B,S003,2025-12-08,Available
OU72VPD,V5,S003,2025-12-08,Available
HN72WXE,V5,S003,2025-12-08,Available
BJ71CSO,V2,S003,2025-12-08,Available
LN24OKF,V4,S003,2025-12-08,Available
HN73PJY,E.B17,S003,2025-12-08,Available
MW73GVG,V4,S003,2025-12-08,Available
CF24LUD,C.F3,S003,2025-12-08,Available
CK71MYL,V2,S003,2025-12-08,Available
RA73UDK,V2A,S003,2025-12-08,Available
MJ23NTE,V5,S003,2025-12-08,Available
BJ23XVF,D.B9A,S003,2025-12-08,Available
HN73PKK,E.B17,S003,2025-12-08,Available
WN21UGZ,V5TDC,S003,2025-12-08,Available
BJ23KAO,D.B9A,S003,2025-12-08,Available
CF21RVL,V2,S003,2025-12-08,Available
YF24ASO,V5D,S003,2025-12-08,Available
CK74EWU,C.F3,S003,2025-12-08,Available
LN24CWX,V4,S003,2025-12-08,Available
MF74OHL,V4A,S003,2025-12-08,Available
SM73ZRJ,V2,S003,2025-12-08,Available
LD23ZUS,V1A,S003,2025-12-08,Available
OU72VSP,V5,S003,2025-12-08,Available
BK73HJC,V3,S003,2025-12-08,Available
SM73ZRF,V2,S003,2025-12-08,Available
HV23ZXK,E.B17,S003,2025-12-08,Available
LB23ESJ,V1A,S003,2025-12-08,Available
WU24CYV,V75BT,S003,2025-12-08,Available
LD70VBG,C.F4,S003,2025-12-08,Available
HK71YTJ,V5D,S003,2025-12-08,Available
KV73AOU,C.F4,S003,2025-12-08,Available
