cluster_id,region_name,num_jobs,center_lat,center_lon,job_refs,job_types,job_times
C01,South West London,6,51.4440,-0.2916,#35937429; ; #35916771; #35659101; #35772913; #35703901,Collect; Deliver; Collect; Collect; Collect; Collect,12/08 09:00; 12/08 09:30; 12/06 08:30; 12/08 08:30; 12/08 10:00; 12/08 10:00
C02,South,11,51.3829,-1.4745,#35995475; #35793063; #36001565; #35885448; #35223620; #35916819; #35811898; #35927198; #35353654; #35169779; #35683043,Deliver; Collect; Deliver; Deliver; Collect; Deliver; Collect; Deliver; Collect; Collect; Collect,12/08 09:00; 12/08 08:30; 12/08 17:00; 12/08 08:30; 11/03 12:00; 12/08 09:00; 12/06 08:30; 12/08 08:30; 12/08 11:30; 12/08 13:30; 12/08 17:30
C03,West London,2,51.5134,-0.4746,#35666720; #35506851,Deliver; Collect,12/08 08:30; 12/05 10:00
C04,South East London,4,51.4306,0.0021,#35752144; #14951424; #35979693; #34909574,Deliver; Collect; Deliver; Collect,12/08 14:00; 11/28 16:30; 12/08 15:00; 12/08 09:00
C05,Other,15,51.9532,-1.0783,#35893131; #35707611; #35843832; #35937464; #35740690; #35689913; #35887288; #35897744; #35836672; #35897776; #35836667; #35877138; #35901653; #35910134; #24674678,Deliver; Collect; Collect; Deliver; Collect; Collect; Collect; Collect; Collect; Collect; Collect; Collect; Collect; Collect; Collect,12/08 16:00; 11/28 18:00; 12/06 12:00; 12/08 08:30; 12/08 08:30; 12/08 08:30; 12/08 08:30; 12/08 08:30; 12/08 08:30; 12/08 08:45; 12/08 09:30; 12/08 12:00; 12/08 15:00; 12/08 17:00; 12/08 17:30
C06,South West,4,51.5975,-2.5821,#35990436; #35885410; #35874233; #35854119,Deliver; Collect; Collect; Collect,12/08 17:30; 12/08 08:30; 12/08 08:30; 12/08 18:00
C07,South East,11,51.3686,-0.2892,#35732685; #35329095; #35826739; #35873727; #35612840; #35979670; #35826723; #35765767; #35666759; #35937452; #35745047,Deliver; Collect; Deliver; Deliver; Collect; Deliver; Collect; Collect; Collect; Collect; Collect,12/08 08:30; 12/08 10:00; 12/08 08:30; 12/08 08:30; 11/28 08:30; 12/08 08:30; 12/05 08:30; 12/08 08:30; 12/08 08:30; 12/08 15:00; 12/08 17:30
C08,Wales,6,51.6368,-2.2142,#35991493; #35885441; #35843822; #35897796; #35916797; #35877181,Deliver; Collect; Collect; Collect; Collect; Collect,12/08 08:30; 12/08 08:30; 12/08 08:30; 12/08 08:30; 12/08 08:30; 12/08 12:00
C09,North London,2,51.5897,-0.1338,#35887276; ,Collect; Deliver,12/08 08:30; 12/08 13:00
C10,Central London,5,51.5510,-0.0771,#35927227; #35887271; #35779477; #35873675; #35877160,Deliver; Deliver; Collect; Collect; Collect,12/08 09:00; 12/08 09:00; 12/08 08:30; 12/08 16:30; 12/08 16:30
C11,East London,4,51.5861,0.1123,#35916813; #35873720; #35811886; #35960046,Collect; Collect; Collect; Collect,12/04 17:30; 12/08 08:30; 12/08 09:00; 12/08 12:00
C12,East,5,52.4967,-0.1680,#35752138; #35873713; #35807695; #35818685; #35990443,Collect; Collect; Collect; Collect; Collect,12/08 08:30; 12/08 08:30; 12/08 10:30; 12/08 10:30; 12/08 17:30
C13,Greater London,3,51.5646,-0.2729,#35910140; #35451807; #35302137,Collect; Collect; Collect,12/08 08:30; 12/08 12:00; 12/08 18:00
C14,Midlands,1,52.4582,-2.1248,#35683080,Collect,12/08 11:45
