job_ref,driver_id,reason
#35707611,D001,Certification mismatch or unavailable
#36001565,D015,Certification mismatch or unavailable
#35873727,D016,Certification mismatch or unavailable
#36001565,D012,Certification mismatch or unavailable
#35897776,D010,Certification mismatch or unavailable
#35873727,D005,Certification mismatch or unavailable
#35877138,D001,Certification mismatch or unavailable
#35990443,D001,Certification mismatch or unavailable
#35897776,D003,Certification mismatch or unavailable
#36001565,D016,Certification mismatch or unavailable
#35897776,D019,Certification mismatch or unavailable
#35793063,D001,Certification mismatch or unavailable
#36001565,D005,Certification mismatch or unavailable
#35990436,D015,Certification mismatch or unavailable
#35990436,D012,Certification mismatch or unavailable
#35854119,D002,Certification mismatch or unavailable
#35990436,D016,Certification mismatch or unavailable
#35707611,D008,Certification mismatch or unavailable
#35990436,D005,Certification mismatch or unavailable
#35707611,D004,Certification mismatch or unavailable
#35877138,D008,Certification mismatch or unavailable
#35877138,D004,Certification mismatch or unavailable
#35990443,D008,Certification mismatch or unavailable
#35897776,D016,Certification mismatch or unavailable
#35793063,D008,Certification mismatch or unavailable
#35793063,D004,Certification mismatch or unavailable
#35854119,D013,Certification mismatch or unavailable
#35990443,D013,Certification mismatch or unavailable
#35873727,D001,Certification mismatch or unavailable
#35793063,D013,Certification mismatch or unavailable
#35854119,D010,Certification mismatch or unavailable
#36001565,D001,Certification mismatch or unavailable
#35707611,D002,Certification mismatch or unavailable
#35854119,D003,Certification mismatch or unavailable
#35854119,D019,Certification mismatch or unavailable
#35877138,D002,Certification mismatch or unavailable
#35990443,D002,Certification mismatch or unavailable
#35793063,D002,Certification mismatch or unavailable
#35990436,D001,Certification mismatch or unavailable
#35873727,D008,Certification mismatch or unavailable
#35854119,D015,Certification mismatch or unavailable
#35873727,D004,Certification mismatch or unavailable
#35854119,D012,Certification mismatch or unavailable
#35990443,D015,Certification mismatch or unavailable
#35990443,D012,Certification mismatch or unavailable
#35897776,D001,Certification mismatch or unavailable
#36001565,D008,Certification mismatch or unavailable
#35793063,D012,Certification mismatch or unavailable
#35854119,D016,Certification mismatch or unavailable
#36001565,D004,Certification mismatch or unavailable
#35854119,D005,Certification mismatch or unavailable
#35990443,D005,Certification mismatch or unavailable
#35707611,D013,Certification mismatch or unavailable
#35990436,D008,Certification mismatch or unavailable
#35877138,D013,Certification mismatch or unavailable
#35990436,D004,Certification mismatch or unavailable
#35873727,D013,Certification mismatch or unavailable
#35707611,D010,Certification mismatch or unavailable
#35897776,D008,Certification mismatch or unavailable
#35707611,D003,Certification mismatch or unavailable
#35877138,D010,Certification mismatch or unavailable
#36001565,D013,Certification mismatch or unavailable
#35897776,D004,Certification mismatch or unavailable
#35707611,D019,Certification mismatch or unavailable
#35990443,D010,Certification mismatch or unavailable
#35877138,D003,Certification mismatch or unavailable
#35877138,D019,Certification mismatch or unavailable
#35793063,D010,Certification mismatch or unavailable
#35990443,D003,Certification mismatch or unavailable
#35990443,D019,Certification mismatch or unavailable
#35873727,D002,Certification mismatch or unavailable
#35793063,D003,Certification mismatch or unavailable
#35990436,D013,Certification mismatch or unavailable
#35793063,D019,Certification mismatch or unavailable
#35707611,D015,Certification mismatch or unavailable
#35707611,D012,Certification mismatch or unavailable
#36001565,D002,Certification mismatch or unavailable
#35877138,D015,Certification mismatch or unavailable
#35877138,D012,Certification mismatch or unavailable
#35897776,D013,Certification mismatch or unavailable
#35707611,D016,Certification mismatch or unavailable
#35793063,D015,Certification mismatch or unavailable
#35707611,D005,Certification mismatch or unavailable
#35877138,D016,Certification mismatch or unavailable
#35990436,D002,Certification mismatch or unavailable
#35877138,D005,Certification mismatch or unavailable
#35990443,D016,Certification mismatch or unavailable
#35854119,D001,Certification mismatch or unavailable
#35793063,D016,Certification mismatch or unavailable
#35793063,D005,Certification mismatch or unavailable
#35897776,D002,Certification mismatch or unavailable
#35873727,D010,Certification mismatch or unavailable
#35897776,D015,Certification mismatch or unavailable
#35897776,D012,Certification mismatch or unavailable
#35873727,D003,Certification mismatch or unavailable
#35854119,D008,Certification mismatch or unavailable
#35873727,D019,Certification mismatch or unavailable
#35854119,D004,Certification mismatch or unavailable
#36001565,D010,Certification mismatch or unavailable
#35990443,D004,Certification mismatch or unavailable
#35897776,D005,Certification mismatch or unavailable
#36001565,D003,Certification mismatch or unavailable
#36001565,D019,Certification mismatch or unavailable
#35873727,D015,Certification mismatch or unavailable
#35990436,D010,Certification mismatch or unavailable
#35873727,D012,Certification mismatch or unavailable
#35990436,D003,Certification mismatch or unavailable
#35990436,D019,Certification mismatch or unavailable
