postcode,lat,lon
B31 5BS,52.4066,-1.9806
B42 1ES,52.5416,-1.9285
B63 2LT,52.4562,-2.0896
B92 0AE,52.4268,-1.7024
B93 9PS,52.3927,-1.7468
BH23 5LJ,50.7438,-1.6939
BH25 5BT,50.7547,-1.6422
BN12 6HG,50.8196,-0.4214
BR2 8LH,51.3779,0.0463
BR8 8DX,51.4025,0.2038
BS8 1HP,51.4555,-2.6054
CB7 4RE,52.4053,0.2685
CF14 4EJ,51.516,-3.1844
CF32 8TA,51.5697,-3.5888
CM16 7PS,51.6876,0.1515
CR2 6AA,51.3364,-0.0985
CT18 7DN,51.1298,1.1573
CV21 3DH,52.3706,-1.2634
DY2 8UB,52.5006,-2.097
E11 4EP,51.5564,-0.0047
E17 6AL,51.5901,-0.0415
EC1Y 2BQ,51.5232,-0.0875
EC1Y 8QA,51.5243,-0.1003
GL15 6BB,51.7061,-2.5783
GU22 7NJ,51.3163,-0.5602
HA1 4TY,51.5933,-0.345
HA7 1QA,51.6044,-0.2978
HP18 9UB,51.8316,-1.0368
HP23 5PS,51.7947,-0.663
HR2 6JU,52.0371,-2.6897
IG5 0BP,51.5883,0.0688
IG5 0PU,51.5911,0.0483
IG7 6ET,51.6217,0.1206
KT10 8AA,51.3667,-0.3634
KT6 7NS,51.3764,-0.2923
ME17 4HW,51.2325,0.5314
ME18 5HA,51.2429,0.4118
MK6 1NE,52.0217,-0.7551
N10 1DU,51.5946,-0.1442
N16 5LG,51.5741,-0.0729
NG1 1AA,52.9548,-1.1581
NP7 6LG,51.8365,-3.0033
NW10 7BQ,51.5343,-0.2454
NW2 2EB,51.5586,-0.2069
NW4 2PN,51.5819,-0.2193
OX29 8FX,51.8244,-1.3738
OX3 9LQ,51.7668,-1.1986
OX7 5YN,51.9499,-1.5829
PE12 9AG,52.7766,0.1346
PE13 4JW,52.6453,0.0351
PE19 8JH,52.2125,-0.2928
PE19 8TP,52.2127,-0.2941
PO12 3UB,50.7925,-1.1448
PO3 5JP,50.834,-1.0599
RG12 7WZ,51.3888,-0.7444
RG20 9XN,51.3469,-1.3853
RG21 5UH,51.2687,-1.0916
RG24 8FW,51.2769,-1.0647
RG40 3BU,51.3884,-0.7951
RG40 3LY,51.3813,-0.8225
RM19 1GD,51.4878,0.2349
SA7 0AP,51.6694,-3.9153
SE10 0EF,51.4889,0.0061
SE13 5EX,51.4633,0.0084
SE15 5TJ,51.4752,-0.0653
SE25 4QL,51.3981,-0.0904
SN16 9QL,51.6172,-1.9661
SO18 5HU,50.918,-1.3333
SO51 7NR,50.9951,-1.4753
SO51 9BE,51.0086,-1.4353
SP4 0ES,51.1119,-1.7372
SP4 7FG,51.173,-1.7803
SS16 4TJ,51.5554,0.4786
SW13 0NY,51.4749,-0.2334
SW13 9RZ,51.482,-0.2421
SW13 9SA,51.4821,-0.2274
SW15 1DT,51.4607,-0.2248
SW15 2RS,51.4588,-0.2169
SW15 2SW,51.4576,-0.2289
SW19 8HQ,51.4296,-0.1914
SW6 2TN,51.4812,-0.1951
SW6 3NN,51.4693,-0.2081
TA2 6LY,51.0273,-3.1067
TA3 5JW,51.0202,-3.0503
TN17 4DN,51.0657,0.5787
TN25 4HF,51.208,0.9425
TW11 8QA,51.4289,-0.3376
TW13 5DN,51.4509,-0.4124
TW13 7EJ,51.4452,-0.4311
TW14 0HS,51.4584,-0.4087
TW14 0LN,51.4474,-0.4199
TW14 0RX,51.4615,-0.4057
TW14 8NX,51.4485,-0.4247
TW14 9DF,51.4502,-0.4084
TW14 9QA,51.4519,-0.409
UB5 5AW,51.5425,-0.3796
UB7 0LQ,51.4888,-0.4754
W13 9DS,51.5049,-0.324
W2 1NY,51.5154,-0.1784
WD6 4RN,51.6552,-0.2808
