vehicle_reg,vehicle_group,current_storage_location,availability_date,notes
MK22EEA,V3,S001,2025-12-08,FELTHAM location
BJ23XKS,D.B9,S001,2025-12-08,FELTHAM location
CK21YPD,V3,S001,2025-12-08,FELTHAM location
HG21EZB,E.A17,S001,2025-12-08,FELTHAM location
WU24DLO,V75BT,S001,2025-12-08,USE RRV
CA24AWJ,V3,S002,2025-12-08,at Putney
BC23OFJ,V3,S003,2025-12-08,FIND A VAN!!
ML23LGW,V5,S003,2025-12-08,Available
YP71VGZ,C.F4,S003,2025-12-08,MOT due
YP21XGZ,C.F4,S003,2025-12-08,Available
BC23KXF,V3,S003,2025-12-08,COLL PO12 3UB
PO69XHZ,VH44T,S003,2025-12-08,SORN Nottingham
YS23PUF,V5D,S003,2025-12-09,Needs cleaning - COLL HP18 9UB
MJ24NYM,V5D,S003,2025-12-08,extended
MW73GVO,V4,S003,2025-12-08,Available
WN21UHB,V5TDC,S003,2025-12-08,Available
MK72FWE,V3,S003,2025-12-08,Available
YS23PLJ,V5D,S003,2025-12-08,Available
